Time Series 1,Time Series 2,Time Series 3,Time Series 4,Time Series 5,Time Series 6,Time Series 7,Time Series 8
-3.927481651235168033e-04,-9.999998264674847537e-01,-7.066206131367941401e-01,-3.820029811630837879e-01,-1.943439374486903570e-01,-9.724761141527996089e-02,-4.789694490978793628e-02,-2.356270962720983381e-02
-1.178244253043435113e-03,-9.999990552119828457e-01,-7.060645837830654692e-01,-3.812769382246448124e-01,-1.935733579271244620e-01,-9.646580822537494104e-02,-4.711233539146022359e-02,-2.277742417293911192e-02
-1.963739613981316679e-03,-9.999976669525791895e-01,-7.055081187843219581e-01,-3.805506600366249659e-01,-1.928026589699294302e-01,-9.568394551563376427e-02,-4.632769680461011619e-02,-2.199212466489542869e-02
-2.749233763283030329e-03,-9.999956616901296558e-01,-7.049512184839051843e-01,-3.798241470471413472e-01,-1.920318410526290764e-01,-9.490202376846909593e-02,-4.554302963336349236e-02,-2.120681158761252710e-02
-3.534726216295262704e-03,-9.999930394258726984e-01,-7.043938832254249549e-01,-3.790973997044543853e-01,-1.912609046508217947e-01,-9.412004346633000285e-02,-4.475833436186337638e-02,-2.042148542563152272e-02
-4.320216488365644786e-03,-9.999898001614249132e-01,-7.038361133527598623e-01,-3.783704184569725570e-01,-1.904898502401782268e-01,-9.333800509170189774e-02,-4.397361147427000794e-02,-1.963614666350261412e-02
-5.105704094842892192e-03,-9.999859438987864779e-01,-7.032779092100559515e-01,-3.776432037532456709e-01,-1.897186782964431218e-01,-9.255590912710630336e-02,-4.318886145476125843e-02,-1.885079578578292142e-02
-5.891188551077858153e-03,-9.999814706403351572e-01,-7.027192711417281634e-01,-3.769157560419686415e-01,-1.889473892954324774e-01,-9.177375605509958956e-02,-4.240408478753117383e-02,-1.806543327703786367e-02
-6.676669372423027840e-03,-9.999763803888322977e-01,-7.021601994924584478e-01,-3.761880757719792134e-01,-1.881759837130352331e-01,-9.099154635827383375e-02,-4.161928195679054365e-02,-1.728005962183943450e-02
-7.462146074233328916e-03,-9.999706731474179433e-01,-7.016006946071965400e-01,-3.754601633922601822e-01,-1.874044620252121041e-01,-9.020928051925583557e-02,-4.083445344676650546e-02,-1.649467530476672605e-02
-8.247618171866168829e-03,-9.999643489196126112e-01,-7.010407568311585180e-01,-3.747320193519362297e-01,-1.866328247079953040e-01,-8.942695902070700587e-02,-4.004959974170144849e-02,-1.570928081040519342e-02
-9.033085180681372367e-03,-9.999574077093205116e-01,-7.004803865098309101e-01,-3.740036441002762557e-01,-1.858610722374888502e-01,-8.864458234532374137e-02,-3.926472132585395042e-02,-1.492387662334690272e-02
-9.818546616042755915e-03,-9.999498495208227755e-01,-6.999195839889627013e-01,-3.732750380866899920e-01,-1.850892050898671204e-01,-8.786215097583519040e-02,-3.847981868349698714e-02,-1.413846322819025704e-02
-1.060400199331653845e-02,-9.999416743587831169e-01,-6.993583496145726608e-01,-3.725462017607315546e-01,-1.843172237413759074e-01,-8.707966539500583414e-02,-3.769489229891944543e-02,-1.335304110953799278e-02
-1.138945082787364178e-02,-9.999328822282457230e-01,-6.987966837329437908e-01,-3.718171355720956139e-01,-1.835451286683310590e-01,-8.629712608563230858e-02,-3.690994265642449229e-02,-1.256761075199975403e-02
-1.217489263508859075e-02,-9.999234731346356986e-01,-6.982345866906276566e-01,-3.710878399706194486e-01,-1.827729203471184505e-01,-8.551453353054484785e-02,-3.612497024032908233e-02,-1.178217264018918166e-02
-1.296032693034012209e-02,-9.999134470837585109e-01,-6.976720588344396123e-01,-3.703583154062818905e-01,-1.820005992541944007e-01,-8.473188821260672909e-02,-3.533997553496510263e-02,-1.099672725872501318e-02
-1.374575322901225305e-02,-9.999028040817999896e-01,-6.971091005114627981e-01,-3.696285623292025480e-01,-1.812281658660844230e-01,-8.394919061471275978e-02,-3.455495902467763114e-02,-1.021127509223123710e-02
-1.453117104649255358e-02,-9.998915441353264377e-01,-6.965457120690439208e-01,-3.688985811896427491e-01,-1.804556206593833645e-01,-8.316644121979253901e-02,-3.376992119382585256e-02,-9.425816625334650437e-03
-1.531657989817519425e-02,-9.998796672512859640e-01,-6.959818938547970291e-01,-3.681683724380036549e-01,-1.796829641107546560e-01,-8.238364051080500350e-02,-3.298486252678089342e-02,-8.640352342667021943e-03
-1.610197929945931042e-02,-9.998671734370071507e-01,-6.954176462166008488e-01,-3.674379365248278684e-01,-1.789101966969314228e-01,-8.160078897074195259e-02,-3.219978350792796623e-02,-7.854882728863261943e-03
-1.688736876575017490e-02,-9.998540627001973879e-01,-6.948529695025972286e-01,-3.667072739007969928e-01,-1.781373188947144026e-01,-8.081788708262581389e-02,-3.141468462166425307e-02,-7.069408268561598423e-03
-1.767274781245854048e-02,-9.998403350489469821e-01,-6.942878640611955809e-01,-3.659763850167335741e-01,-1.773643311809728618e-01,-8.003493532951119760e-02,-3.062956635239889869e-02,-6.283929446403260441e-03
-1.845811595500236255e-02,-9.998259904917256025e-01,-6.937223302410682191e-01,-3.652452703235996023e-01,-1.765912340326435404e-01,-7.925193419448238463e-02,-2.984442918455414498e-02,-5.498446747032403534e-03
-1.924347270880564370e-02,-9.998110290373840581e-01,-6.931563683911514673e-01,-3.645139302724956787e-01,-1.758180279267309576e-01,-7.846888416065496419e-02,-2.905927360256242015e-02,-4.712960655095272712e-03
-2.002881758930011302e-02,-9.997954506951535203e-01,-6.925899788606467711e-01,-3.637823653146617375e-01,-1.750447133403063016e-01,-7.768578571117393250e-02,-2.827410009086782708e-02,-3.927471655240270115e-03
-2.081415011192437603e-02,-9.997792554746461891e-01,-6.920231619990189209e-01,-3.630505759014768796e-01,-1.742712907505087616e-01,-7.690263932921460877e-02,-2.748890913392761093e-02,-3.141980232117450641e-03
-2.159946979212452531e-02,-9.997624433858545157e-01,-6.914559181559968293e-01,-3.623185624844588171e-01,-1.734977606345430023e-01,-7.611944549798213555e-02,-2.670370121620709025e-02,-2.356486870378702355e-03
-2.238477614535493848e-02,-9.997450144391512028e-01,-6.908882476815719764e-01,-3.615863255152626521e-01,-1.727241234696811345e-01,-7.533620470071036856e-02,-2.591847682218316115e-02,-1.570992054677200923e-03
