Time Series 1,Time Series 2
-4.708553767728396178e-01,-2.831517964753192396e-01
-3.826626142722928670e-01,-1.948703082777825391e-01
-3.846186368359601482e-01,-1.967380686191668726e-01
-3.354944315786784759e-01,-1.475260648321434220e-01
-2.555135796595500719e-01,-6.745787829250293743e-02
-3.817390627322057028e-01,-1.935964908694192410e-01
-4.456582988203682261e-01,-2.574293208010136058e-01
-3.660901845726412529e-01,-1.777752649491410875e-01
-4.502811377180044872e-01,-2.618807412548870839e-01
-1.473671961570847677e-01,4.111821217016331520e-02
-3.912492093455254283e-01,-2.026792543394438928e-01
-5.890058659298702537e-01,-4.003518296389150244e-01
-4.195449969630591913e-01,-2.308073449887046713e-01
-3.023679102190086621e-01,-1.135471083690938188e-01
-3.375241093670088288e-01,-1.486206236545881132e-01
-4.039111359488847253e-01,-2.149254325910774921e-01
-3.179815393645255006e-01,-1.289140847813662893e-01
-2.936476807204314587e-01,-1.044989415337159028e-01
-3.716425564382914715e-01,-1.824129994704311031e-01
-3.985120783592410176e-01,-2.092021706321050001e-01
-1.664784088487628599e-01,2.291138241747267545e-02
-2.932130104919145053e-01,-1.037438031039098207e-01
-4.628402209557248015e-01,-2.732920650592816081e-01
-3.198563936138010266e-01,-1.302297570170961871e-01
-1.171070850389611950e-01,7.259756425613636543e-02
-3.982065456421655658e-01,-2.084243518430805020e-01
-4.010676905900901201e-01,-2.112084206728041258e-01
-4.446625694264916273e-01,-2.547266919670169161e-01
-4.804954128878230479e-01,-2.904833966512397336e-01
-2.018568991813390889e-01,-1.176921312063991532e-02
-3.217497728762480635e-01,-1.315868861311798033e-01
-3.831206704372784322e-01,-1.928830523331843405e-01
-4.080952171101576154e-01,-2.177833371568198007e-01
-2.317676869217558944e-01,-4.138201481223546807e-02
-3.526653835552124305e-01,-1.622063891646913225e-01
-4.030387871766872854e-01,-2.125069405613077000e-01
-2.823020014368050057e-01,-9.169777283251168143e-02
-2.885126970646077482e-01,-9.783655688598175137e-02
-9.982520106291772888e-02,9.092238009797901088e-02
-4.360927644093685607e-01,-2.452742130345809957e-01
-2.888289119253251713e-01,-9.793986128018183912e-02
-4.402684540307804650e-01,-2.493093752328099655e-01
-2.500387718053129760e-01,-5.901013614487521375e-02
-2.305015341780148885e-01,-3.940381311713660184e-02
-2.383616737122370988e-01,-4.719533888344902561e-02
-4.495120342370273470e-02,1.462832733711237343e-01
-2.858615063052722394e-01,-9.455935951445385013e-02
-3.795108338538432657e-01,-1.881414892040901288e-01
-3.151311835996204458e-01,-1.236951133938353070e-01
-4.000649502010072411e-01,-2.085626269067728522e-01
-9.848492482247039881e-02,9.308317892911706359e-02
-2.879610453809379744e-01,-9.632763396544126444e-02
-4.164825368712825604e-01,-2.247842907465009699e-01
-3.271503273464930195e-01,-1.353877196270621974e-01
-1.227727789640842837e-01,6.905371707651132562e-02
-3.272508010231517384e-01,-1.353608900925520886e-01
-3.104426017329511289e-01,-1.184897495000168249e-01
-3.567689719090895162e-01,-1.647536521168300738e-01
-2.783908803372680540e-01,-8.631356688286453971e-02
-2.203113611870447519e-01,-2.817252812067914947e-02
-3.123285561447421976e-01,-1.201286776684285934e-01
-2.037634262198755042e-01,-1.150297668628834369e-02
-3.423084487742995563e-01,-1.499879026856043851e-01
-2.147335321075609649e-01,-2.235336411424222736e-02
-2.132484621761711885e-01,-2.080914707586130341e-02
-3.569275620512499247e-01,-1.644295747875578195e-01
-3.289910140696314933e-01,-1.364348297309696256e-01
-1.785185693259028206e-01,1.409533685568475914e-02
-2.900377262256342847e-01,-9.736657357562333859e-02
7.449428337822655566e-02,2.672222069808730671e-01
-2.388341181377889866e-01,-4.604989923840654975e-02
-7.805818693451815893e-02,1.147818514667631601e-01
-4.056349470164641868e-01,-2.127395650458865084e-01
-1.657560887164341579e-01,2.719416075425169776e-02
-2.140789202334893171e-01,-2.107427946729881901e-02
-3.325185488825626035e-01,-1.394599931597096942e-01
-4.181981618243627574e-01,-2.250861676167532077e-01
-3.902113383694808535e-01,-1.970463822809066512e-01
-3.438020211933322523e-01,-1.505845799582969380e-01
-8.727662366832722451e-02,1.059928258491315972e-01
