Time Series 1,Time Series 2
-8.252473507482518400e-01,1.511897660920231423e-01
-9.161563037610540583e-01,6.106532727798967553e-02
-8.834224335008835638e-01,9.458310878680019351e-02
-1.017804039920164216e+00,-3.901518981764717786e-02
-9.080021928137500531e-01,7.156936118649109835e-02
-1.165633871934776078e+00,-1.852802184368538552e-01
-1.005056702855273265e+00,-2.392155474226971557e-02
-1.282546821436131301e+00,-3.006307840728340008e-01
-1.239247094407954108e+00,-2.565507736409611828e-01
-9.257336144092755958e-01,5.774238343337563528e-02
-1.085690182084786626e+00,-1.014351139755791525e-01
-8.747590592406638832e-01,1.102744718453097517e-01
-9.699260173023667164e-01,1.588536899026585930e-02
-1.019468581957195585e+00,-3.287994870795053759e-02
-8.882773326166116812e-01,9.908793885963432246e-02
-1.109223471343656620e+00,-1.210821708492099968e-01
-1.063179225197497191e+00,-7.426250537246363581e-02
-1.194779847271316697e+00,-2.050883182817479777e-01
-1.143654576040860515e+00,-1.531888485308686987e-01
-1.044320138344666304e+00,-5.308082343604734327e-02
-9.455004766749377509e-01,4.651181403320617247e-02
-1.066185019329018102e+00,-7.340036489738221981e-02
-8.575588368262774264e-01,1.359975687762662588e-01
-1.072652685800539851e+00,-7.832514205584674427e-02
-1.001467965651569481e+00,-6.369897269280735963e-03
-1.080849710494219629e+00,-8.498173145430633346e-02
-1.059584430150188217e+00,-6.294715490765954991e-02
-9.107450261374487877e-01,8.666093037802702348e-02
-1.041792842358264526e+00,-4.361881997379055131e-02
-9.583027142533327991e-01,4.063875812229224282e-02
-1.049898138699480121e+00,-5.018983268407349596e-02
-1.102541430570500358e+00,-1.028524040094861286e-01
-1.049992608942892591e+00,-4.953798237921799158e-02
-1.094967271505398632e+00,-9.374766222405504779e-02
-1.068503271077549277e+00,-6.651929683552600114e-02
-9.923232023893607812e-01,1.042451858473584722e-02
-1.064157737358162992e+00,-6.064688835183331544e-02
-1.126406398449335544e+00,-1.221330405814674419e-01
-9.154932447618057134e-01,8.954200232643476365e-02
-1.138896649693573293e+00,-1.331001334962156057e-01
-9.655478127831287338e-01,4.100935194238548159e-02
-1.048594377589133764e+00,-4.127718538574774720e-02
-9.663920524460178907e-01,4.168454571601411252e-02
-8.186325010183910234e-01,1.902028811145053122e-01
-9.062877653308096804e-01,1.033057783169954585e-01
-1.057489655993045119e+00,-4.713857375407538158e-02
-9.443951301068796989e-01,6.671286733210575470e-02
-1.002488047758131273e+00,9.376241022700191122e-03
